STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       2139;19930906;    9;   0.0;   0;   0;   0;eor
       2139;19930907;    9;  10.2;   4;   0;   0;eor
       2139;19930908;    9;   0.5;   4;   0;   0;eor
       2139;19930909;    9;   5.3;   4;   0;   0;eor
       2139;19930910;    9;  15.0;   4;   0;   0;eor
       2139;19930911;    9;  27.0;   4;   0;   0;eor
       2139;19930912;    9;   0.8;   4;   0;   0;eor
       2139;19930913;    9;   7.4;   4;   0;   0;eor
       2139;19930914;    9;   0.2;   4;   0;   0;eor
       2139;19930915;    9;   6.1;   4;   0;   0;eor
       2139;19930916;    9;   0.1;   4;   0;   0;eor
       2139;19930917;    9;   3.9;   4;   0;   0;eor
       2139;19930918;    9;   0.1;   4;   0;   0;eor
       2139;19930919;    9;   0.0;   0;   0;   0;eor
       2139;19930920;    9;   0.0;   0;   0;   0;eor
       2139;19930921;    9;   0.3;   4;   0;   0;eor
       2139;19930922;    9;   4.6;   4;   0;   0;eor
       2139;19930923;    9;   0.5;   4;   0;   0;eor
       2139;19930924;    9;   2.0;   4;   0;   0;eor
       2139;19930925;    9;  18.3;   4;   0;   0;eor
       2139;19930926;    9;   0.1;   4;   0;   0;eor
       2139;19930927;    9;   0.0;   0;   0;   0;eor
       2139;19930928;    9;   0.0;   0;   0;   0;eor
       2139;19930929;    9;   0.0;   0;   0;   0;eor
       2139;19930930;    9;   0.0;   0;   0;   0;eor
       2139;19931001;    9;   3.2;   4;   0;   0;eor
       2139;19931002;    9;  23.6;   4;   0;   0;eor
       2139;19931003;    9;   8.7;   4;   0;   0;eor
       2139;19931004;    9;   4.6;   4;   0;   0;eor
       2139;19931005;    9;   1.1;   4;   0;   0;eor
       2139;19931006;    9;   0.3;   4;   0;   0;eor
       2139;19931007;    9;   0.0;   0;   0;   0;eor
       2139;19931008;    9;   2.6;   4;   0;   0;eor
       2139;19931009;    9;   0.0;   0;   0;   0;eor
       2139;19931010;    9;   6.2;   4;   0;   0;eor
       2139;19931011;    9;   1.0;   4;   0;   0;eor
       2139;19931012;    9;   2.0;   4;   0;   0;eor
       2139;19931013;    9;   3.4;   4;   0;   0;eor
       2139;19931014;    9;   0.1;   4;   0;   0;eor
       2139;19931015;    9;   7.3;   4;   0;   0;eor
