timestamp,capacity_wh,power_watts,temperature_c,humidity_pct,cloud_cover_pct,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration_s,precipitation_mm,hour,day_of_week,month,day_of_year,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,capacity_wh_lag_1h,capacity_wh_lag_2h,capacity_wh_lag_3h,capacity_wh_lag_6h,capacity_wh_lag_12h,capacity_wh_lag_24h,capacity_wh_rolling_mean_6h,capacity_wh_rolling_std_6h,capacity_wh_rolling_mean_12h,capacity_wh_rolling_std_12h,capacity_wh_rolling_mean_24h,capacity_wh_rolling_std_24h,power_watts_rolling_mean_6h,power_watts_rolling_std_6h,power_watts_rolling_mean_12h,power_watts_rolling_std_12h,power_watts_rolling_mean_24h,power_watts_rolling_std_24h,capacity_change,capacity_next_hour
2025-10-22 01:00:00,160.0,0.0,10.7,90,100,0.0,0.0,0.0,0.0,0.0,1,2,10,295,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,160.0,160.0,160.0,160.0,176.0,160.0,160.0,0.0,161.33333333333334,4.618802153650169,174.66666666666666,27.6569740311679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
2025-10-22 02:00:00,160.0,0.0,10.9,90,99,0.0,0.0,0.0,0.0,0.0,2,2,10,295,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,160.0,160.0,160.0,160.0,176.0,160.0,160.0,0.0,160.0,0.0,174.66666666666666,27.6569740311679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
2025-10-22 03:00:00,160.0,0.0,11.1,91,100,0.0,0.0,0.0,0.0,0.0,3,2,10,295,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,160.0,160.0,160.0,160.0,160.0,160.0,160.0,0.0,160.0,0.0,174.66666666666666,27.6569740311679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
2025-10-22 04:00:00,160.0,0.0,11.1,93,100,0.0,0.0,0.0,0.0,0.0,4,2,10,295,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,160.0,160.0,160.0,160.0,160.0,160.0,160.0,0.0,160.0,0.0,174.66666666666666,27.6569740311679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
2025-10-22 05:00:00,160.0,0.0,11.0,93,100,0.0,0.0,0.0,0.0,0.0,5,2,10,295,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,160.0,160.0,160.0,160.0,160.0,160.0,160.0,0.0,160.0,0.0,174.66666666666666,27.6569740311679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
2025-10-22 06:00:00,160.0,0.0,10.9,94,100,0.0,0.0,0.0,0.0,0.0,6,2,10,295,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,160.0,160.0,160.0,160.0,160.0,160.0,160.0,0.0,160.0,0.0,174.66666666666666,27.6569740311679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0
2025-10-22 07:00:00,176.0,0.0,11.2,94,100,0.0,0.0,0.0,0.0,0.0,7,2,10,295,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,160.0,160.0,160.0,160.0,160.0,160.0,162.66666666666666,6.531972647324647,161.33333333333334,4.618802153650169,175.33333333333334,27.4803399201304,0.0,0.0,0.0,0.0,0.0,0.0,16.0,224.0
2025-10-22 08:00:00,224.0,0.0,11.4,93,100,23.0,6.0,17.0,0.0,0.0,8,2,10,295,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,176.0,160.0,160.0,160.0,160.0,208.0,173.33333333333334,25.63331166013106,166.66666666666666,18.63200244613384,176.0,28.483065568068646,0.0,0.0,0.0,0.0,0.0,0.0,48.0,272.0
2025-10-22 09:00:00,272.0,0.0,11.7,93,100,66.0,20.0,46.0,1076.96,0.0,9,2,10,295,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,224.0,176.0,160.0,160.0,160.0,224.0,192.0,46.37240558779291,176.0,35.450349402064866,178.0,33.28111852450055,0.0,0.0,0.0,0.0,0.0,0.0,48.0,288.0
2025-10-22 10:00:00,288.0,0.0,12.5,84,73,174.0,70.0,104.0,3600.0,0.0,10,2,10,295,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,272.0,224.0,176.0,160.0,160.0,256.0,213.33333333333334,56.944417344156406,186.66666666666666,47.43097057512277,179.33333333333334,36.977601263053685,0.0,0.0,0.0,0.0,0.0,0.0,16.0,288.0
